date,sender_id,message
2024-12-07 02:48:50+00:00,,"🎇GOOD MORNING  TRADERS 🎇

🎇👍 ENJOY YOUR  WEEKEND 👍🎇"
2024-12-06 17:30:09+00:00,,"PAYMENT IS BEING SENT TO ALL ONE BY ONE 

⭐️🚀 TODAY  PAYMENT🚀 ⭐️

PAYMENT ARE TODAY SLOT IS SUCCESSFUL 

STILL IF SOMEONE HAS NOT RECEIVED THE PAYMENT THEN HE CAN MESSAGE ON 

@DANNY_SIR_OFFICIALL✅️"
2024-12-06 09:08:43+00:00,,🔥🔥38
2024-12-06 09:08:43+00:00,,Safe trader book profit
2024-12-06 09:08:43+00:00,,🔥🔥36
2024-12-06 09:08:43+00:00,,🔥🔥34
2024-12-06 09:08:43+00:00,,🔥🔥32
2024-12-06 09:08:43+00:00,,🔥🔥31
2024-12-06 09:08:43+00:00,,SECOND TARGET DONE ✅
2024-12-06 09:08:43+00:00,,🔥🔥30
2024-12-06 09:08:43+00:00,,🔥🔥29
2024-12-06 09:08:43+00:00,,🔥🔥28
2024-12-06 09:08:43+00:00,,🔥🔥27
2024-12-06 09:08:43+00:00,,🔥🔥26
2024-12-06 09:08:43+00:00,,FIRST TARGET DONE ✅
2024-12-06 09:08:43+00:00,,🔥🔥25
2024-12-06 09:08:42+00:00,,🔥🔥24
2024-12-06 09:08:42+00:00,,🔥🔥23
2024-12-06 09:08:42+00:00,,🔥🔥22
2024-12-06 09:08:42+00:00,,🔥🔥21
2024-12-06 09:08:42+00:00,,🔥🔥20
2024-12-06 08:51:06+00:00,,Work small quantity
2024-12-06 08:51:06+00:00,,"Sensex 81600 PE buy above 20


SL buying near price 

Target 🎯 25/30/40"
2024-12-06 08:39:10+00:00,,FIRST TARGET DONE ✅
2024-12-06 08:39:10+00:00,,🔥🔥99
2024-12-06 08:39:10+00:00,,🔥🔥88
2024-12-06 08:39:10+00:00,,🔥🔥85
2024-12-06 08:39:10+00:00,,🔥🔥82
2024-12-06 07:57:50+00:00,,Safe trader book profit
2024-12-06 07:57:50+00:00,,🔥🔥80
2024-12-06 07:57:50+00:00,,🔥🔥78
2024-12-06 07:57:50+00:00,,🔥🔥75
2024-12-06 07:57:50+00:00,,🔥🔥73
2024-12-06 07:57:50+00:00,,🔥🔥70
2024-12-06 07:57:50+00:00,,🔥🔥68
2024-12-06 07:57:50+00:00,,🔥🔥65
2024-12-06 07:57:50+00:00,,🔥🔥63
2024-12-06 07:57:50+00:00,,🔥🔥60
2024-12-06 07:57:50+00:00,,🔥🔥58
2024-12-06 07:57:50+00:00,,🔥🔥55
2024-12-06 07:57:50+00:00,,🔥🔥52
2024-12-06 07:57:50+00:00,,🔥🔥50
2024-12-06 07:14:14+00:00,,"All Investors Send Your Account Details And Any UPI ID For Withdrawal Your Profit 💸✅🏦

@DANNY_SIR_OFFICIALL✅️

Name
M. No 
Acc No.
Ifsc
Upi 
Phone Pay N.
G Pay N."
2024-12-06 06:57:14+00:00,,Work small quantity
2024-12-06 06:57:14+00:00,,"SENSEX 81700 PE ABOVE 50

SL NEAR BUYING PRICE 

TARGET 🎯 90/210/250+"
2024-12-06 05:23:41+00:00,,🔥🔥523
2024-12-06 05:23:41+00:00,,🔥🔥520
2024-12-06 05:23:41+00:00,,🔥🔥515
2024-12-06 05:23:41+00:00,,🔥🔥510
2024-12-06 05:23:41+00:00,,🔥🔥500
2024-12-06 05:23:40+00:00,,🔥🔥495
2024-12-06 05:23:40+00:00,,🔥🔥490
2024-12-06 05:23:40+00:00,,🔥🔥485
2024-12-06 05:23:40+00:00,,🔥🔥480
2024-12-06 05:23:40+00:00,,🔥🔥475
2024-12-06 05:23:40+00:00,,🔥🔥470
2024-12-06 05:23:40+00:00,,🔥🔥465
2024-12-06 05:23:40+00:00,,🔥🔥460
2024-12-06 05:23:40+00:00,,🔥🔥455
2024-12-06 05:06:55+00:00,,"BANKNIFTY 54400 CE ABOVE 450

SL NEAR BUYING PRICE 

TARGET 🎯 OPEN"
2024-12-06 05:06:55+00:00,,🔥🔥332
2024-12-06 05:06:55+00:00,,ALL TARGET DONE ✅
2024-12-06 05:06:55+00:00,,🔥🔥330
2024-12-06 05:06:55+00:00,,🔥🔥325
2024-12-06 05:06:55+00:00,,🔥🔥320
2024-12-06 05:06:55+00:00,,🔥🔥315
2024-12-06 05:06:55+00:00,,🔥🔥310
2024-12-06 05:06:55+00:00,,🔥🔥305
2024-12-06 05:06:55+00:00,,SECOND TARGET DONE ✅
2024-12-06 05:06:55+00:00,,🔥🔥300
2024-12-06 05:06:55+00:00,,🔥🔥295
2024-12-06 05:06:55+00:00,,🔥🔥290
2024-12-06 05:06:55+00:00,,🔥🔥285
2024-12-06 05:06:55+00:00,,🔥🔥280
2024-12-06 05:06:54+00:00,,🔥🔥275
2024-12-06 05:06:54+00:00,,FIRST TARGET DONE ✅
2024-12-06 05:06:54+00:00,,🔥🔥270
2024-12-06 05:06:54+00:00,,🔥🔥265
2024-12-06 05:06:54+00:00,,🔥🔥260
2024-12-06 05:06:54+00:00,,🔥🔥255
2024-12-06 05:06:54+00:00,,🔥🔥250
2024-12-06 05:06:54+00:00,,🔥🔥245
2024-12-06 05:06:54+00:00,,🔥🔥240
